,Order,Family,Species,CVal_Mean,ChromNumber_Mean,CVal_Median,ChromNumber_Median
135,Characiformes,Characidae,Moenkhausia dichroura,1.01,NA,1.01,NA
136,Characiformes,Characidae,Moenkhausia oligolepis,1.6,50,1.6,50
137,Characiformes,Characidae,Moenkhausia sanctaefilomenae,1.29,NA,1.29,NA
138,Characiformes,Characidae,Mylossoma paraguayensis,1.46,54,1.46,54
139,Characiformes,Characidae,Odontostilbe stenodon,1.86,52,1.86,52
140,Characiformes,Characidae,Oligosarcus hepsetus,1.67,50,1.67,50
141,Characiformes,Characidae,Oligosarcus paranensis,1.66,50,1.66,50
142,Characiformes,Characidae,Piabina argentea,1.18,52,1.18,52
143,Characiformes,Characidae,Piabucus melanostomus,1.2,NA,1.2,NA
144,Characiformes,Characidae,Poptella paraguayensis,1.74,NA,1.74,NA
145,Characiformes,Characidae,Pseudocorynopoma heterandria,1.26,NA,1.26,NA
146,Characiformes,Characidae,Roeboides bonariensis,1.09,52,1.09,52
147,Characiformes,Characidae,Roeboides prognathus,1.54,NA,1.54,NA
148,Characiformes,Characidae,Salminus hilarii,1.31,50,1.31,50
149,Characiformes,Characidae,Serrasalmus brandti,1.64,60,1.64,60
150,Characiformes,Characidae,Serrasalmus hollandi,1.69,64,1.69,64
151,Characiformes,Characidae,Serrasalmus sp.1,1.6,62,1.6,62
152,Characiformes,Characidae,Serrasalmus sp.2,1.79,NA,1.79,NA
153,Characiformes,Characidae,Serrasalmus spilopleura,1.51,NA,1.51,NA
154,Characiformes,Characidae,Tetragonopterus argenteus,1.5,NA,1.5,NA
155,Characiformes,Characidae,Tetragonopterus chalceus,1.97,52,1.97,52
156,Characiformes,Characidae,Triportheus paranensis,1.34,NA,1.34,NA
157,Characiformes,Characidae,Triportheus pictus,1.73,NA,1.73,NA
158,Characiformes,Curimatidae,Curimata vittata,1.49,NA,1.49,NA
159,Characiformes,Curimatidae,Curimatella dorsalis,1.42,54,1.42,54
160,Characiformes,Curimatidae,Cyphocharax gilberti,1.66,54,1.66,54
161,Characiformes,Curimatidae,Cyphocharax modestus,1.6,54,1.6,54
162,Characiformes,Curimatidae,Potamorhina squamoralevis,1.9,102,1.9,102
163,Characiformes,Curimatidae,Prochilodus affinis,1.56,54,1.56,54
164,Characiformes,Curimatidae,Prochilodus argenteus,1.54,54,1.54,54
165,Characiformes,Curimatidae,Prochilodus lineatus,1.68,54,1.68,54
166,Characiformes,Curimatidae,Semaprochilodus binotatus,1.86,NA,1.86,NA
167,Characiformes,Curimatidae,Steindachnerina elegans,1.73,54,1.73,54
168,Characiformes,Curimatidae,Steindachnerina guentheri,1.62,54,1.62,54
169,Characiformes,Curimatidae,Steindachnerina insculpta,1.43,54,1.43,54
170,Characiformes,Cynodontidae,Hydrolycus scomberoides,1.05,NA,1.05,NA
171,Characiformes,Cynodontidae,Raphiodon vulpinus,1.01,NA,1.01,NA
172,Characiformes,Erythrinidae,Hoplias malabaricus,1.28,NA,1.28,NA
173,Characiformes,Gasteropelecidae,Carnegiella strigata strigata,1.4,NA,1.4,NA
174,Characiformes,Gasteropelecidae,Gasteropelecus levis,1.4,NA,1.4,NA
175,Characiformes,Gasteropelecidae,Thoracocharax cf. stellatus -1,1.29,NA,1.29,NA
176,Characiformes,Gasteropelecidae,Thoracocharax cf. stellatus -2,1.09,52,1.09,52
177,Characiformes,Hemiodontidae,Apareiodon affinis,1.145,NA,1.145,NA
178,Characiformes,Lebiasinidae,Pyrrhulina australis,0.99,40,0.99,40
179,Characiformes,Lebiasinidae,Pyrrhulina rachoviana,1.2,42,1.2,42
180,Clupeiformes,Chirocentridae,Chirocentrus dorab,0.82,NA,0.82,NA
181,Clupeiformes,Clupeidae,Alosa chrysochloris,1.1,NA,1.1,NA
182,Clupeiformes,Clupeidae,Alosa pseudoharengus,1.4,48,1.4,48
183,Clupeiformes,Clupeidae,Alosa sapidissima,1.3,NA,1.3,NA
184,Clupeiformes,Clupeidae,Alosa sp.,0.99,NA,0.99,NA
185,Clupeiformes,Clupeidae,Clupea pallasii,0.905,NA,0.935,NA
186,Clupeiformes,Clupeidae,Dorosoma cepedianum,0.99,NA,0.99,NA
187,Clupeiformes,Clupeidae,Harengula humeralis,1.02,NA,1.02,NA
188,Clupeiformes,Clupeidae,Herklotsichthys castelnaui,0.8,NA,0.8,NA
189,Clupeiformes,Clupeidae,Herklotsichthys quadrimaculatus,0.76,48,0.76,48
190,Clupeiformes,Clupeidae,Hyperlophus translucidus,1.09,NA,1.09,NA
191,Clupeiformes,Clupeidae,Nematalosa come,0.88,NA,0.88,NA
192,Clupeiformes,Clupeidae,Sardinella gibbosa,1.06,NA,1.06,NA
193,Clupeiformes,Clupeidae,Sardinella zunasi,1.16,48,1.16,48
194,Clupeiformes,Clupeidae,Sardinops sagax,1.18,NA,1.18,NA
195,Clupeiformes,Engraulidae,Anchoa delicatissima,1.9,NA,1.9,NA
196,Clupeiformes,Engraulidae,Engraulis japonicus,1.44,48,1.44,48
197,Clupeiformes,Engraulidae,Engraulis mordax,1.705,NA,1.705,NA
198,Coelacanthiformes,Latimeriidae,Latimeria chalumnae,3.94,NA,3.205,NA
199,Coelacanthiformes,Latimeriidae,Latimeria menadoensis,3.47,NA,3.47,NA
200,Cypriniformes,Balitoridae,Barbatula barbatula,0.54,50,0.54,50
201,Cypriniformes,Balitoridae,Homaloptera hoffmanni,0.47,50,0.47,50
202,Cypriniformes,Balitoridae,Lefua echigonia,0.48,50,0.48,50
203,Cypriniformes,Balitoridae,Pseudogastromyzon myersi,0.44,50,0.44,50
204,Cypriniformes,Balitoridae,Triplophysa siluroides,1.1,48,1.1,48
205,Cypriniformes,Catostomidae,Carpiodes cyprinus,2.24,100,2.24,100
206,Cypriniformes,Catostomidae,Catostomus catostomus,2.09,NA,2.09,NA
207,Cypriniformes,Catostomidae,Catostomus commersoni,2.645,NA,2.645,NA
208,Cypriniformes,Catostomidae,Erimyzon oblongus,1.86,NA,1.86,NA
209,Cypriniformes,Catostomidae,Moxostoma erythrurum,2.14,98,2.14,98
210,Cypriniformes,Catostomidae,Myxocyprinus asiaticus,2.385,NA,2.385,NA
211,Cypriniformes,Cobitidae,Botia macrocanthus,0.97,NA,0.95,NA
212,Cypriniformes,Cobitidae,Botia modesta,0.8,100,0.8,100
213,Cypriniformes,Cobitidae,Botia sp.,0.84,NA,0.84,NA
214,Cypriniformes,Cobitidae,Cobitis biwae,2.15,48,2.15,48
215,Cypriniformes,Cobitidae,Cobitis biwae (4x),3.505,96,3.505,96
216,Cypriniformes,Cobitidae,Cobitis koreensis,1.4,NA,1.4,NA
217,Cypriniformes,Cobitidae,Cobitis lutheri,1.855,NA,1.855,NA
218,Cypriniformes,Cobitidae,Cobitis sinensis,1.48,NA,1.48,NA
219,Cypriniformes,Cobitidae,Cobitis sp. (3x),3.01,74,3.01,74
220,Cypriniformes,Cobitidae,Cobitis sp. (4x),3.82,98,3.82,98
221,Cypriniformes,Cobitidae,Cobitis taenia striata,1.97,50,1.97,50
222,Cypriniformes,Cobitidae,Cobitis taenia taenia,1.676666667,NA,1.69,NA
223,Cypriniformes,Cobitidae,Koreocobitis rotundicaudata,0.58,NA,0.58,NA
224,Cypriniformes,Cobitidae,Leptobotia curta,0.56,50,0.56,50
225,Cypriniformes,Cobitidae,Misgurnus anguillicaudatus,1.543333333,NA,1.4,NA
226,Cypriniformes,Cobitidae,Misgurnus anguillicaudatus (4x),2.28,NA,2.28,NA
227,Cypriniformes,Cobitidae,Misgurnus anguillicaudatus (4x?),2.23,NA,2.23,NA
228,Cypriniformes,Cobitidae,Misgurnus fossilis,2.6,100,2.6,100
229,Cypriniformes,Cobitidae,Misgurnus mizolepis,1.24,NA,1.24,NA
230,Cypriniformes,Cobitidae,Pangio borneensis,1,50,1,50
231,Cypriniformes,Cobitidae,Pangio kuhlii,1.105,NA,1.105,NA
232,Cypriniformes,Cobitidae,Paramisgurnus dabryanus,1.093333333,NA,1.1,NA
233,Cypriniformes,Cyprinidae,Abbottina rivularis,1.54,50,1.54,50
234,Cypriniformes,Cyprinidae,Abramis ballerus,1.17,NA,1.17,NA
235,Cypriniformes,Cyprinidae,Abramis brama,1.322,NA,1.3,NA
236,Cypriniformes,Cyprinidae,Abramis sapa,1.1,50,1.1,50
237,Cypriniformes,Cyprinidae,Acheilognathus chankaensis,1,44,1,44
238,Cypriniformes,Cyprinidae,Acheilognathus limbatus,0.98,NA,0.98,NA
239,Cypriniformes,Cyprinidae,Acheilognathus rhombeus,1.09,NA,1.09,NA
240,Cypriniformes,Cyprinidae,Acheilognathus tabira,0.945,NA,0.945,NA
241,Cypriniformes,Cyprinidae,Acheilognathus typus,0.95,44,0.95,44
242,Cypriniformes,Cyprinidae,Acrossocheilus yunnanensis,1.25,50,1.25,50
243,Cypriniformes,Cyprinidae,Alburnus alburnus,1.386,NA,1.38,NA
244,Cypriniformes,Cyprinidae,Anaecypris hispanica,1.24,50,1.24,50
245,Cypriniformes,Cyprinidae,Aphyocypris chinensis,1.15,48,1.15,48
246,Cypriniformes,Cyprinidae,Aristichthys nobilis,1.03,NA,1.03,NA
247,Cypriniformes,Cyprinidae,Aspius aspius,1.24,NA,1.24,NA
248,Cypriniformes,Cyprinidae,Balantiocheilus melanopterus,1.03,NA,1.03,NA
249,Cypriniformes,Cyprinidae,Barbodes chonglingchungi,1.15,50,1.15,50
250,Cypriniformes,Cyprinidae,Barbodes gonionotus,1.1,50,1.1,50
251,Cypriniformes,Cyprinidae,Barbodes schwanenfeldii,1.1,NA,1.1,NA
252,Cypriniformes,Cyprinidae,Barbus barbus,1.8025,NA,1.78,NA
253,Cypriniformes,Cyprinidae,Barbus bocagei,1.91,100,1.91,100
254,Cypriniformes,Cyprinidae,Barbus comizo,1.36,100,1.36,100
255,Cypriniformes,Cyprinidae,Barbus microcephalus,1.87,100,1.87,100
256,Cypriniformes,Cyprinidae,Barbus sclateri,1.83,100,1.83,100
257,Cypriniformes,Cyprinidae,Barbus steindachneri,1.82,100,1.82,100
258,Cypriniformes,Cyprinidae,Blicca bjoerkna,1.26,50,1.26,50
259,Cypriniformes,Cyprinidae,Campostoma anomalum,1.15,50,1.15,50
260,Cypriniformes,Cyprinidae,Campostoma oligolepis,1.13,50,1.13,50
261,Cypriniformes,Cyprinidae,Carassius auratus auratus,1.795714286,NA,1.78,NA
262,Cypriniformes,Cyprinidae,Carassius auratus auratus (3x),2.413333333,NA,2.38,NA
263,Cypriniformes,Cyprinidae,Carassius auratus langsdorfi,1.7,100,1.7,100
264,Cypriniformes,Cyprinidae,Carassius auratus ssp.,1.94,100,1.94,100
265,Cypriniformes,Cyprinidae,Carassius auratus ssp.1,1.5,100,1.5,100
266,Cypriniformes,Cyprinidae,Carassius auratus ssp.2,1.85,100,1.85,100
267,Cypriniformes,Cyprinidae,Carassius carassius,2.01,NA,2.01,NA
268,Cypriniformes,Cyprinidae,Carassius cuvieri,2.31,NA,2.31,NA
269,Cypriniformes,Cyprinidae,Carassius gibelio,2.553333333,NA,2.77,NA
270,Cypriniformes,Cyprinidae,Catla catla,2.45,50,2.45,50
271,Cypriniformes,Cyprinidae,Catlocarpio siamensis,1.76,98,1.76,98
272,Cypriniformes,Cyprinidae,Chela caeruleostigmata,1.6,48,1.6,48
273,Cypriniformes,Cyprinidae,Chondrostoma duriense,1.34,50,1.34,50
274,Cypriniformes,Cyprinidae,Chondrostoma nasus,1.38,50,1.38,50
275,Cypriniformes,Cyprinidae,Chondrostoma polylepis polylepis,1.33,50,1.33,50
276,Cypriniformes,Cyprinidae,Chondrostoma toxostoma,1.3,50,1.3,50
277,Cypriniformes,Cyprinidae,Chondrostoma willkommii,1.37,50,1.37,50
278,Cypriniformes,Cyprinidae,Cirrhinus mrigala,1.05,50,1.05,50
279,Cypriniformes,Cyprinidae,Ctenopharyngodon idellus,1.027142857,NA,1.02,NA
280,Cypriniformes,Cyprinidae,Culter erythropterus,1.18,48,1.18,48
281,Cypriniformes,Cyprinidae,Culter mongolicus mongolicus,1.12,48,1.12,48
282,Cypriniformes,Cyprinidae,Cyprinella callistia,1.03,50,1.03,50
283,Cypriniformes,Cyprinidae,Cyprinella camura,1.2,50,1.2,50
284,Cypriniformes,Cyprinidae,Cyprinella lepida,1.27,50,1.27,50
285,Cypriniformes,Cyprinidae,Cyprinella lutrensis,1.19,50,1.19,50
286,Cypriniformes,Cyprinidae,Cyprinella proserpina,1.45,50,1.45,50
287,Cypriniformes,Cyprinidae,Cyprinella trichroistia,1.14,50,1.14,50
288,Cypriniformes,Cyprinidae,Cyprinella venusta,1.21,50,1.21,50
289,Cypriniformes,Cyprinidae,Cyprinella whipplii,1.25,50,1.25,50
290,Cypriniformes,Cyprinidae,Cyprinus carpio carpio,1.794375,NA,1.785,NA
291,Cypriniformes,Cyprinidae,Cyprinus carpio chilia,1.65,100,1.65,100
292,Cypriniformes,Cyprinidae,Cyprinus carpio rubrofuscus,1.7,100,1.7,100
293,Cypriniformes,Cyprinidae,Cyprinus daliensis,1.55,100,1.55,100
294,Cypriniformes,Cyprinidae,Cyprinus longipectoralis,1.85,100,1.85,100
295,Cypriniformes,Cyprinidae,Cyprinus pelligrini barbatus,1.75,100,1.75,100
296,Cypriniformes,Cyprinidae,Danio albolineatus,1.42,50,1.42,50
297,Cypriniformes,Cyprinidae,Danio malabricus,1.8,NA,1.8,NA
298,Cypriniformes,Cyprinidae,Danio rerio,1.858,NA,1.78,NA
299,Cypriniformes,Cyprinidae,Dionda argentosa,1.04,50,1.04,50
300,Cypriniformes,Cyprinidae,Dionda diaboli,1,50,1,50
301,Cypriniformes,Cyprinidae,Dionda episcopa,1.055,50,1.055,50
302,Cypriniformes,Cyprinidae,Dionda serena,0.99,50,0.99,50
303,Cypriniformes,Cyprinidae,Dionda sp.,1.01,50,1.01,50
304,Cypriniformes,Cyprinidae,Diptychus sp.,2.45,98,2.45,98
305,Cypriniformes,Cyprinidae,Elopichthys bambusa,1.05,NA,1.05,NA
306,Cypriniformes,Cyprinidae,Epalzeorhynchos bicolor,1.265,NA,1.265,NA
307,Cypriniformes,Cyprinidae,Epalzeorhynchos frenatum,1.22,NA,1.22,NA
308,Cypriniformes,Cyprinidae,Erythroculter ilishaeformis,0.91,48,0.91,48
309,Cypriniformes,Cyprinidae,Garra cambodgiensis,1.1,52,1.1,52
310,Cypriniformes,Cyprinidae,Gnathopogon elongatus,1.11,NA,1.11,NA
311,Cypriniformes,Cyprinidae,Gobio albipinnatus,1.71,50,1.71,50
312,Cypriniformes,Cyprinidae,Gobio gobio,1.593333333,NA,1.65,NA
313,Cypriniformes,Cyprinidae,Gobio kessleri,1.83,50,1.83,50
314,Cypriniformes,Cyprinidae,Hemibarbus labeo,1.1125,NA,1.11,NA
315,Cypriniformes,Cyprinidae,Hemibarbus longirostris,1.08,50,1.08,50
316,Cypriniformes,Cyprinidae,Hemibarbus maculatus,1.15,50,1.15,50
317,Cypriniformes,Cyprinidae,Hemiculter leucisculus,1.22,48,1.22,48
318,Cypriniformes,Cyprinidae,Hemigrammocypris rasborella,0.9,48,0.9,48
319,Cypriniformes,Cyprinidae,Hemitremia flammea,1.19,50,1.19,50
320,Cypriniformes,Cyprinidae,Hybognathus placitus,1.41,50,1.41,50
321,Cypriniformes,Cyprinidae,Hypophthalmichthys molitrix,1,NA,1.005,NA
322,Cypriniformes,Cyprinidae,Ischikauia steenackeri,1.29,48,1.29,48
323,Cypriniformes,Cyprinidae,Labeo calbasu,1.04,50,1.04,50
324,Cypriniformes,Cyprinidae,Labeo chrysophekadion,1.233333333,NA,1.2,NA
325,Cypriniformes,Cyprinidae,Labeo rohita,1.99,50,1.99,50
326,Cypriniformes,Cyprinidae,Lavinia exilicauda,1.25,50,1.25,50
327,Cypriniformes,Cyprinidae,Leuciscus aradensis,1.18,50,1.18,50
328,Cypriniformes,Cyprinidae,Leuciscus carolitertii,1.22,50,1.22,50
329,Cypriniformes,Cyprinidae,Leuciscus cephalus,1.31,NA,1.33,NA
330,Cypriniformes,Cyprinidae,Leuciscus idus,1.4,NA,1.4,NA
331,Cypriniformes,Cyprinidae,Leuciscus leuciscus,1.235,NA,1.235,NA
332,Cypriniformes,Cyprinidae,Leuciscus pyrenaicus,1.21,50,1.21,50
333,Cypriniformes,Cyprinidae,Luxilus chrysocephalus,1.15,50,1.15,50
334,Cypriniformes,Cyprinidae,Luxilus pilsbryi,1.24,50,1.24,50
335,Cypriniformes,Cyprinidae,Lythrurus ardens,1.25,50,1.25,50
336,Cypriniformes,Cyprinidae,Lythrurus bellus,1.31,50,1.31,50
337,Cypriniformes,Cyprinidae,Lythrurus umbratilis,1.33,50,1.33,50
